27 дек. 2022 13:47:25,354 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 59, Time : 9, Current connections count : 1
27 дек. 2022 13:47:25,368 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 59, Current connections count : 1
27 дек. 2022 13:47:25,892 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 59, Current connections count : 1
27 дек. 2022 13:47:25,959 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 59, Current connections count : 1
27 дек. 2022 13:47:25,960 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 59, Current connections count : 1
27 дек. 2022 13:47:25,961 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 59, Current connections count : 1
27 дек. 2022 13:47:25,962 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 59, Current connections count : 1
27 дек. 2022 13:47:26,883 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 60, Time : 8, Current connections count : 2
27 дек. 2022 13:47:26,897 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 60, Current connections count : 2
27 дек. 2022 13:47:26,897 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 60, Current connections count : 2
27 дек. 2022 13:47:26,905 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 60, Current connections count : 2
27 дек. 2022 13:47:26,925 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 60, Current connections count : 2
27 дек. 2022 13:47:26,934 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 60, Current connections count : 2
27 дек. 2022 13:47:26,990 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 60, Current connections count : 2
27 дек. 2022 13:47:26,998 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 60, Current connections count : 2
27 дек. 2022 13:47:31,424 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,431 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,513 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,516 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,545 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,546 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,548 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,550 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,675 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,712 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,715 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,718 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,766 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,854 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,856 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,860 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,862 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,869 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,871 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,878 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,880 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,881 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,883 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,885 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,887 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,893 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,894 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:31,895 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,219 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,222 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,223 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,225 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,226 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,226 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,228 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,230 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,231 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,236 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,341 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,342 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,343 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,343 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,345 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,349 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,408 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,408 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,409 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,411 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:47:32,439 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 59, Current connections count : 2
27 дек. 2022 13:48:12,289 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 64, Time : 11, Current connections count : 1
27 дек. 2022 13:48:12,317 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,360 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,363 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,412 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,416 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,428 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,431 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,433 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,435 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,436 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,438 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,496 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,502 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,507 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,513 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,514 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,517 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,520 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,522 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,523 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:12,525 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:13,019 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 64, Current connections count : 1
27 дек. 2022 13:48:13,047 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 64, Current connections count : 1
